|dir_project          |first                  |last                   |
|a-e05103-raw         |2006-07-30 19:31:12.000|2011-08-05 11:21:21.000|
|moller               |2023-10-12 20:20:47.000|2025-02-09 02:29:48.000|
|moller12gev          |2022-09-29 10:52:27.000|2024-09-05 13:12:49.000|
|physrun2021-raw      |2021-08-27 12:38:42.000|2021-11-06 13:03:32.000|
|b-rg-c                 |2022-06-07 21:33:48.000|2023-04-27 22:39:08.000|
|b-rg-d                 |2023-09-26 22:50:42.000|2023-12-15 07:49:53.000|
|b-rg-e                 |2020-01-30 14:26:44.000|2024-05-22 17:20:29.000|
|b-rg-f                 |2020-02-12 19:14:02.000|2021-11-22 13:03:56.000|
|b-rg-h                 |2020-11-13 10:22:07.000|2020-12-17 21:21:24.000|
|b-rg-m-raw             |2021-11-10 13:02:57.000|2022-06-05 09:19:35.000|
|RunPeriod-2014-10-raw|2014-10-24 10:02:10.000|2014-12-22 11:48:55.000|
|RunPeriod-2015-01-raw|2015-02-25 14:26:48.000|2015-03-11 09:55:41.000|
|RunPeriod-2015-03-raw|2015-03-18 16:32:32.000|2015-05-15 12:26:48.000|
|RunPeriod-2015-06-raw|2015-06-02 11:35:12.000|2015-12-01 10:54:44.000|
|RunPeriod-2015-12-raw|2015-12-08 09:07:46.000|2016-01-28 09:43:07.000|
|RunPeriod-2016-02-raw|2016-01-29 11:21:53.000|2016-09-08 20:02:40.000|
|RunPeriod-2016-10-raw|2016-09-09 18:11:54.000|2017-01-05 11:21:51.000|
|RunPeriod-2017-01-raw|2017-01-13 15:31:35.000|2025-02-10 19:40:47.000|
|RunPeriod-2018-01-raw|2017-11-10 13:01:11.000|2018-08-03 08:32:42.000|
|RunPeriod-2018-08-raw|2018-08-06 14:00:34.000|2025-02-11 19:29:47.000|
|RunPeriod-2019-01-raw|2019-01-03 16:05:32.000|2025-02-11 19:29:47.000|
|RunPeriod-2019-11-raw|2019-10-25 21:45:46.000|2025-02-13 12:01:56.000|
|RunPeriod-2021-08-raw|2021-08-02 10:25:37.000|2025-02-13 15:15:22.000|
|RunPeriod-2021-11-raw|2021-11-05 16:44:28.000|2022-03-24 12:24:19.000|
|RunPeriod-2022-05    |2022-03-29 15:51:53.000|2022-08-19 23:42:40.000|
|RunPeriod-2022-08    |2022-08-20 03:34:58.000|2023-01-03 18:34:14.000|
|RunPeriod-2023-01    |2023-01-04 02:20:05.000|2023-03-22 11:46:02.000|
|RunPeriod-2025-01    |2024-11-01 10:53:24.000|2025-06-11 12:49:40.000|
|tpe_test             |2006-09-29 12:56:53.000|2006-10-23 08:49:54.000|
